"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"132","19-0132","RUA FELICIANO SODRÉ, 153","24440440","CENTRO","SÃO GONÇALO","RJ"
"133","19-0133","RUA EDUARDO VIEIRA DE SOUZA, 112","24445410","CENTRO","SÃO GONÇALO","RJ"
"135","19-0135","RUA FELICIANO SODRE 153 - 2 ANDAR","24440440","CENTRO","SÃO GONÇALO","RJ"
"138","19-0138","RUA FELIX 1561","26381015","FANCHEM","QUEIMADOS","RJ"
"139","19-0139","RUA JOAO BATISTA EVANGELISTA S/N - CENTRO DE ENGENHEIRO PEDREIRA","26423290","ENGENHEIRO PEDREIRA","JAPERI","RJ"
"141","19-0141","RUA ARISTIDES GONCALVES DE SOUZA, 74","28250000","SAO CAETANO","ITALVA","RJ"
"144","19-0144","RUA VISCONDE DE SEPETIBA 987 - 3 ANDAR - FUNDOS","24020206","CENTRO","NITERÓI","RJ"
"146","19-0146","RUA MARECHAL FLORIANO PEIXOTO 40","28930000","PRAIA DOS ANJOS","ARRAIAL DO CABO","RJ"
"147","19-0147","RUA ARCEBISPO SANTOS, S/N","23900160","SAO BENTO","ANGRA DOS REIS","RJ"
"148","19-0148","RUA MÁRIO DE BRITO, 129 - LOJA 3 - PIABETÁ","25915000","PIABETÁ","MAGÉ","RJ"
"149","19-0149","ESTRADA DO BANANAL, 2336, LJS. 1 E 2","25946440","BANANAL","GUAPIMIRIM","RJ"
"150","19-0150","RUA PARANA N 1, 3 ANDAR - MESQUITA","26553020","CENTRO","MESQUITA","RJ"
"151","19-0151","RUA DESEMBARGADOR FERREIRA PINTO, 9, CENTRO, ITABORAÍ","24800205","CENTRO","ITABORAÍ","RJ"
"152","19-0152","RUA URUGUAI, 51","26130525","CENTRO","BELFORD ROXO","RJ"
"153","19-0153","RUA URUGUAI, 51","26130525","CENTRO","BELFORD ROXO","RJ"
"154","19-0154","RUA URUGUAI, 51","26130520","CENTRO","BELFORD ROXO","RJ"
"155","19-0155","RUA URUGUAI, 51","26130525","CENTRO","BELFORD ROXO","RJ"
"156","19-0156","RUA DR MÁRIO GUIMARÃES, 968 - ED. DO FÓRUM - ANEXO - 4 ANDAR","26255230","BAIRRO DA LUZ","NOVA IGUAÇU","RJ"
"157","19-0157","RUA GETULIO VARGAS 104","26255060","CENTRO","NOVA IGUAÇU","RJ"
"158","19-0158","RUA DOUTOR MÁRIO GUIMARÃES, 968 - EDIFÍCIO DO FÓRUM - ANEXO - 4 ANDAR","26255230","BAIRRO DA LUZ","NOVA IGUAÇU","RJ"
"159","19-0159","RUA CEL. BERNARDINO DE MELLO 2585, CENTRO - NOVA IGUAÇU / RJ","26255140","CENTRO","NOVA IGUAÇU","RJ"
"161","19-0161","RUA LUCENA, S/N,OLARIA (ANTIGO FÓRUM,ATRÁS DO CLUBE OLARIA) 21.021-320","21021320","OLARIA","RIO DE JANEIRO","RJ"
"162","19-0162","RUA FILOMENA NUNES, 961","21021380","OLARIA","RIO DE JANEIRO","RJ"
"167","19-0167","RUA ITAPERA, 500 LOJAS 150 A 153 (VIA BRASIL SHOPPING)","21230500","IRAJÁ","RIO DE JANEIRO","RJ"
"169","19-0169","RUA SACADURA CABRAL, 226, FUNDOS","20221161","SAUDE","RIO DE JANEIRO","RJ"
"170","19-0170","AV. PROFESSOR MANUEL DE ABREU, 286","20550170","MARACANÃ","RIO DE JANEIRO","RJ"
"172","19-0172","ESTRADA DA USINA RUA DOIS S/N EDIFICIO DO FORUM","28950000","CENTRO","ARMAÇÃO DOS BÚZIOS","RJ"
"174","19-0174","AV. TENENTE ENEAS TORNO 42, SALA 27 - EDIFICIO DO FORUM","25802330","NOVA NITERÓI","TRÊS RIOS","RJ"
"176","19-0176","AV MONSENHOR FELIX, 512","21235110","IRAJÁ","RIO DE JANEIRO","RJ"
"179","19-0179","AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA","22775002","BARRA DA TIJUCA","RIO DE JANEIRO","RJ"
"180","19-0180","RUA GODOFREDO VIANA, 400","22730020","TAQUARA","RIO DE JANEIRO","RJ"
"181","19-0181","RUA ENGENHEIRO NEVES DA ROCHA, S/N - PRÉDIO DO FÓRUM","28960000","CIDADE NOVA","IGUABA GRANDE","RJ"
"182","19-0182","RUA GODOFREDO VIANA, 400","22730020","TAQUARA","RIO DE JANEIRO","RJ"
"183","19-0183","RUA HILARIO ETTORE 378","27570000","CENTRO (PORTO REAL)","PORTO REAL","RJ"
"184","19-0184","AVENIDA GUANABARA, N 3.837","28893158","BOSQUE DA PRAIA","RIO DAS OSTRAS","RJ"
"185","19-0185","RUA GODOFREDO VIANA 400","22730020","TAQUARA","RIO DE JANEIRO","RJ"
"186","19-0186","AVENIDA PRESIDENTE LINCOLN, 440 - LOJA - VILAR DOS TELES","25555201","VILAR DOS TELES","SÃO JOÃO DE MERITI","RJ"
"187","19-0187","AV PRESIDENTE LINCOLN, 911 - LOJAS N/TU","25555200","VILAR DOS TELES","SÃO JOÃO DE MERITI","RJ"
"188","19-0188","AV. VICENTE DE CARVALHO, 909, LJ. 115/116, 2 PISO, CARIOCA SHOPPING","21210623","VILA DA PENHA","RIO DE JANEIRO","RJ"
"191","19-0191","ESTRADA DA CACUIA, 1574","21921001","ILHA DO GOVERNADOR","RIO DE JANEIRO","RJ"
"192","19-0192","RUA ORCADAS 435 - SALA 12 - XX RA (SUPERINTENDÊNCIA REGIONAL DA ILHA)","21920257","PORTUGUESA","RIO DE JANEIRO","RJ"
"195","19-0195","RUA ALICE QUINTELA MAURICI REGADAS, 66, LJ 07","25953240","VÁRZEA","TERESÓPOLIS","RJ"
"196","19-0196","RUA SENHOR DOS PASSOS, 37 - EDIFÍCIO DO FÓRUM","25780000","CENTRO","SÃO JOSÉ DO VALE DO RIO PRETO","RJ"
"198","19-0198","PRAÇA MARECHAL JOSÉ PESSOA 95 - EDIFÍCIO DO FÓRUM ANTIGO","27511380","CENTRO","RESENDE","RJ"
"199","19-0199","RUA VISCONDE DE SEPETIBA 987 FUNDOS - 2 ANDAR","24020200","CENTRO","NITERÓI","RJ"
"200","19-0200","AVENIDA BRIGADEIRO LIMA E SILVA, 350","25085132","PARQUE DUQUE","DUQUE DE CAXIAS","RJ"
"201","19-0201","RUA PEDRO ALVARES CABRAL 305 - 2 ANDAR - EDIFÍCIO DA PREFEITURA","26525051","CENTRO","NILÓPOLIS","RJ"
"204","19-0204","RUA SACADURA CABRAL, 226,","20221161","SAUDE","RIO DE JANEIRO","RJ"
