NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
RIO DE JANEIRO,118,Vereador,DR. JORGE MANAIA,77,SD,ELEITO POR MÉDIA,173
RIO DE JANEIRO,165,Vereador,DR. JORGE MANAIA,77,SD,ELEITO POR MÉDIA,24
RIO DE JANEIRO,236,Vereador,DR. JORGE MANAIA,77,SD,ELEITO POR MÉDIA,48
RIO DE JANEIRO,204,Vereador,DR. JORGE MANAIA,77,SD,ELEITO POR MÉDIA,71
RIO DE JANEIRO,24,Vereador,ZICO BACANA,31,PHS,ELEITO POR MÉDIA,17
RIO DE JANEIRO,124,Vereador,ELISEU KESSLER,55,PSD,ELEITO POR MÉDIA,87
RIO DE JANEIRO,120,Vereador,ELISEU KESSLER,55,PSD,ELEITO POR MÉDIA,934
RIO DE JANEIRO,216,Vereador,ELISEU KESSLER,55,PSD,ELEITO POR MÉDIA,43
RIO DE JANEIRO,10,Vereador,FERNANDO WILLIAM,12,PDT,ELEITO POR MÉDIA,123
RIO DE JANEIRO,238,Vereador,FERNANDO WILLIAM,12,PDT,ELEITO POR MÉDIA,53
RIO DE JANEIRO,169,Vereador,FERNANDO WILLIAM,12,PDT,ELEITO POR MÉDIA,230
RIO DE JANEIRO,175,Vereador,FERNANDO WILLIAM,12,PDT,ELEITO POR MÉDIA,513
RIO DE JANEIRO,209,Vereador,FERNANDO WILLIAM,12,PDT,ELEITO POR MÉDIA,175
RIO DE JANEIRO,164,Vereador,FERNANDO WILLIAM,12,PDT,ELEITO POR MÉDIA,87
RIO DE JANEIRO,21,Vereador,FERNANDO WILLIAM,12,PDT,ELEITO POR MÉDIA,173
RIO DE JANEIRO,163,Vereador,PROFESSOR CELIO LUPPARELLI,25,DEM,ELEITO POR MÉDIA,14
RIO DE JANEIRO,124,Vereador,PROFESSOR CELIO LUPPARELLI,25,DEM,ELEITO POR MÉDIA,24
RIO DE JANEIRO,177,Vereador,PROFESSOR CELIO LUPPARELLI,25,DEM,ELEITO POR MÉDIA,17
RIO DE JANEIRO,230,Vereador,PROFESSOR ADALMIR,45,PSDB,ELEITO POR MÉDIA,12
RIO DE JANEIRO,192,Vereador,PROFESSOR ADALMIR,45,PSDB,ELEITO POR MÉDIA,11
RIO DE JANEIRO,219,Vereador,PROFESSOR ADALMIR,45,PSDB,ELEITO POR MÉDIA,41
RIO DE JANEIRO,175,Vereador,PROFESSOR ADALMIR,45,PSDB,ELEITO POR MÉDIA,71
RIO DE JANEIRO,234,Vereador,PAULO MESSINA,90,PROS,ELEITO POR MÉDIA,166
RIO DE JANEIRO,11,Vereador,PAULO MESSINA,90,PROS,ELEITO POR MÉDIA,148
RIO DE JANEIRO,8,Vereador,PAULO MESSINA,90,PROS,ELEITO POR MÉDIA,129
RIO DE JANEIRO,210,Vereador,PAULO MESSINA,90,PROS,ELEITO POR MÉDIA,154
RIO DE JANEIRO,189,Vereador,PAULO MESSINA,90,PROS,ELEITO POR MÉDIA,144
RIO DE JANEIRO,178,Vereador,DR. JOÃO RICARDO,15,PMDB,ELEITO POR MÉDIA,53
RIO DE JANEIRO,161,Vereador,VERÔNICA COSTA,15,PMDB,ELEITO POR MÉDIA,234
RIO DE JANEIRO,119,Vereador,DR. JOÃO RICARDO,15,PMDB,ELEITO POR MÉDIA,373
RIO DE JANEIRO,17,Vereador,VERÔNICA COSTA,15,PMDB,ELEITO POR MÉDIA,31
RIO DE JANEIRO,25,Vereador,DR. JOÃO RICARDO,15,PMDB,ELEITO POR MÉDIA,266
RIO DE JANEIRO,119,Vereador,VERÔNICA COSTA,15,PMDB,ELEITO POR MÉDIA,170
RIO DE JANEIRO,230,Vereador,JAIR DA MENDES GOMES,33,PMN,ELEITO POR MÉDIA,14
RIO DE JANEIRO,120,Vereador,JAIR DA MENDES GOMES,33,PMN,ELEITO POR MÉDIA,13
RIO DE JANEIRO,177,Vereador,JAIR DA MENDES GOMES,33,PMN,ELEITO POR MÉDIA,36
RIO DE JANEIRO,206,Vereador,JAIR DA MENDES GOMES,33,PMN,ELEITO POR MÉDIA,0
RIO DE JANEIRO,185,Vereador,JAIR DA MENDES GOMES,33,PMN,ELEITO POR MÉDIA,28
RIO DE JANEIRO,18,Vereador,JAIR DA MENDES GOMES,33,PMN,ELEITO POR MÉDIA,1
RIO DE JANEIRO,212,Vereador,JAIR DA MENDES GOMES,33,PMN,ELEITO POR MÉDIA,1
RIO DE JANEIRO,212,Vereador,ROGERIO ROCAL,14,PTB,ELEITO POR MÉDIA,0
RIO DE JANEIRO,220,Vereador,ROGERIO ROCAL,14,PTB,ELEITO POR MÉDIA,9
RIO DE JANEIRO,246,Vereador,ROGERIO ROCAL,14,PTB,ELEITO POR MÉDIA,185
RIO DE JANEIRO,15,Vereador,ROGERIO ROCAL,14,PTB,ELEITO POR MÉDIA,14
RIO DE JANEIRO,230,Vereador,ROGERIO ROCAL,14,PTB,ELEITO POR MÉDIA,34
RIO DE JANEIRO,166,Vereador,PAULO PINHEIRO,50,PSOL,ELEITO POR QP,291
RIO DE JANEIRO,123,Vereador,TARCÍSIO MOTTA,50,PSOL,ELEITO POR QP,434
RIO DE JANEIRO,180,Vereador,RENATO CINCO,50,PSOL,ELEITO POR QP,284
RIO DE JANEIRO,242,Vereador,TARCÍSIO MOTTA,50,PSOL,ELEITO POR QP,456
RIO DE JANEIRO,18,Vereador,RENATO CINCO,50,PSOL,ELEITO POR QP,215
RIO DE JANEIRO,232,Vereador,PAULO PINHEIRO,50,PSOL,ELEITO POR QP,16
RIO DE JANEIRO,25,Vereador,TARCÍSIO MOTTA,50,PSOL,ELEITO POR QP,282
RIO DE JANEIRO,236,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,92
RIO DE JANEIRO,7,Vereador,TARCÍSIO MOTTA,50,PSOL,ELEITO POR QP,3424
RIO DE JANEIRO,252,Vereador,PAULO PINHEIRO,50,PSOL,ELEITO POR QP,375
RIO DE JANEIRO,25,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,96
RIO DE JANEIRO,118,Vereador,RENATO CINCO,50,PSOL,ELEITO POR QP,65
RIO DE JANEIRO,206,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,638
RIO DE JANEIRO,15,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,193
RIO DE JANEIRO,12,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,108
RIO DE JANEIRO,246,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,9
RIO DE JANEIRO,119,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,8
RIO DE JANEIRO,232,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,25
RIO DE JANEIRO,231,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,34
RIO DE JANEIRO,230,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,79
RIO DE JANEIRO,229,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,180
RIO DE JANEIRO,232,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,155
RIO DE JANEIRO,189,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,82
RIO DE JANEIRO,234,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,74
RIO DE JANEIRO,118,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,54
RIO DE JANEIRO,9,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,422
RIO DE JANEIRO,205,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,107
RIO DE JANEIRO,166,Vereador,REIMONT,13,PT,ELEITO POR QP,270
RIO DE JANEIRO,216,Vereador,REIMONT,13,PT,ELEITO POR QP,120
RIO DE JANEIRO,209,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,193
RIO DE JANEIRO,238,Vereador,REIMONT,13,PT,ELEITO POR QP,60
RIO DE JANEIRO,245,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,173
RIO DE JANEIRO,243,Vereador,REIMONT,13,PT,ELEITO POR QP,71
RIO DE JANEIRO,15,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,125
RIO DE JANEIRO,173,Vereador,REIMONT,13,PT,ELEITO POR QP,403
RIO DE JANEIRO,121,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,102
RIO DE JANEIRO,220,Vereador,REIMONT,13,PT,ELEITO POR QP,62
RIO DE JANEIRO,206,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,669
RIO DE JANEIRO,1,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,40
RIO DE JANEIRO,189,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,341
RIO DE JANEIRO,121,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,20
RIO DE JANEIRO,242,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,15
RIO DE JANEIRO,176,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,37
RIO DE JANEIRO,235,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,37
RIO DE JANEIRO,216,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,42
RIO DE JANEIRO,161,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,6206
RIO DE JANEIRO,4,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,47
RIO DE JANEIRO,171,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,141
RIO DE JANEIRO,122,Vereador,VAL,51,PEN,ELEITO POR QP,55
RIO DE JANEIRO,219,Vereador,VAL,51,PEN,ELEITO POR QP,455
RIO DE JANEIRO,18,Vereador,VAL,51,PEN,ELEITO POR QP,6
RIO DE JANEIRO,176,Vereador,VAL,51,PEN,ELEITO POR QP,200
RIO DE JANEIRO,245,Vereador,VAL,51,PEN,ELEITO POR QP,50
RIO DE JANEIRO,5,Vereador,LEANDRO LYRA,30,NOVO,ELEITO POR QP,612
RIO DE JANEIRO,162,Vereador,LEANDRO LYRA,30,NOVO,ELEITO POR QP,18
RIO DE JANEIRO,236,Vereador,LEANDRO LYRA,30,NOVO,ELEITO POR QP,23
RIO DE JANEIRO,17,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,28
RIO DE JANEIRO,241,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,218
RIO DE JANEIRO,191,Vereador,MARCELLO SICILIANO,31,PHS,ELEITO POR QP,30
RIO DE JANEIRO,212,Vereador,MARCELLO SICILIANO,31,PHS,ELEITO POR QP,20
RIO DE JANEIRO,206,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,19
RIO DE JANEIRO,218,Vereador,MARCELLO SICILIANO,31,PHS,ELEITO POR QP,43
RIO DE JANEIRO,209,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,177
RIO DE JANEIRO,219,Vereador,MARCELLO SICILIANO,31,PHS,ELEITO POR QP,59
RIO DE JANEIRO,245,Vereador,MARCELLO SICILIANO,31,PHS,ELEITO POR QP,131
RIO DE JANEIRO,3,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,10
RIO DE JANEIRO,21,Vereador,CLÁUDIO CASTRO,20,PSC,ELEITO POR QP,261
RIO DE JANEIRO,120,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,29
RIO DE JANEIRO,211,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,198
RIO DE JANEIRO,230,Vereador,CARLOS BOLSONARO,20,PSC,ELEITO POR QP,1160
RIO DE JANEIRO,214,Vereador,CLÁUDIO CASTRO,20,PSC,ELEITO POR QP,113
RIO DE JANEIRO,166,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,8
RIO DE JANEIRO,244,Vereador,CARLOS BOLSONARO,20,PSC,ELEITO POR QP,1115
RIO DE JANEIRO,189,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,82
RIO DE JANEIRO,205,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,6
RIO DE JANEIRO,231,Vereador,CARLOS BOLSONARO,20,PSC,ELEITO POR QP,1319
RIO DE JANEIRO,240,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,12
RIO DE JANEIRO,121,Vereador,RENATO MOURA,12,PDT,ELEITO POR QP,13
RIO DE JANEIRO,7,Vereador,RENATO MOURA,12,PDT,ELEITO POR QP,35
RIO DE JANEIRO,232,Vereador,LUIZ CARLOS RAMOS FILHO,19,PTN,ELEITO POR QP,201
RIO DE JANEIRO,167,Vereador,LUIZ CARLOS RAMOS FILHO,19,PTN,ELEITO POR QP,71
RIO DE JANEIRO,11,Vereador,LUIZ CARLOS RAMOS FILHO,19,PTN,ELEITO POR QP,51
RIO DE JANEIRO,211,Vereador,LUIZ CARLOS RAMOS FILHO,19,PTN,ELEITO POR QP,25
RIO DE JANEIRO,213,Vereador,LUIZ CARLOS RAMOS FILHO,19,PTN,ELEITO POR QP,33
RIO DE JANEIRO,215,Vereador,CESAR MAIA,25,DEM,ELEITO POR QP,1065
RIO DE JANEIRO,171,Vereador,CESAR MAIA,25,DEM,ELEITO POR QP,820
RIO DE JANEIRO,188,Vereador,RAFAEL ALOISIO FREITAS,15,PMDB,ELEITO POR QP,38
